Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
29.09.2025;K252054;SpineAR SNAP (SyncAR Spine);Surgical Theater, Inc.;Neurology;SBF;K243623
29.09.2025;K250023;SMART PCFD;Disior Ltd;Radiology;QIH;K240642
26.09.2025;K252105;Ligence Heart;Ligence, UAB;Radiology;QIH;K210791
25.09.2025;K251527;Brain WMH;Quantib BV;Radiology;QIH;K213737
25.09.2025;K252371;uMR 680;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;LNH;K243397
23.09.2025;K251483;SwiftSight-Brain;AIRS Medical Inc.;Radiology;QIH;K242215
23.09.2025;K251987;Rapid Aortic Measurements;iSchemaView, Inc.;Radiology;QIH;K243350
19.09.2025;K251167;uDR Aurora CX;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;KPR;K241068
19.09.2025;K251002;Videa Dental AI;VideaHealth Inc.;Radiology;MYN;K232384
19.09.2025;K250649;Bunkerhill ECG-EF;BunkerHill Health;Cardiovascular;QYE;K232699
18.09.2025;K250369;Axial3D Insight;Axial Medical Printing Limited;Radiology;QIH;K232841
17.09.2025;K251386;ECHELON Synergy;Fujifilm Corporation;Radiology;LNH;K241429
17.09.2025;K251221;"Assert-IQ  (DM5000); Assert-IQ (DM5300); Assert-IQ (DM5500); Merlin.net (MN7000)";Abbott;Cardiovascular;MXD;K230286
15.09.2025;K250237;InferOperate Suite;Beijing Infervision Healthcare Medical Technology Co., Ltd.;Radiology;QIH;K212896
12.09.2025;K251368;FETOLY;Diagnoly;Radiology;IYN;K241380
12.09.2025;K251518;Volta AF-Xplorer II;Volta Medical;Cardiovascular;DQK;K243812
12.09.2025;K252586;CADDIE;Odin Medical Limited;Gastroenterology-Urology;QNP;K240044
11.09.2025;K251316;Mazor X System / Mazor X Stealth Edition;Mazor Robotics Ltd.;Neurology;OLO;K230064
11.09.2025;K250507;Hypertension Notification Feature (HTNF);Apple Inc.;Cardiovascular;SFR;DEN230003
